in s,C1 in V,C2 in V,ARB0
-5.176880E-04,3.41797E-02,-9.76562E-03,6.1817395E-06
-5.176856E-04,2.44141E-02,6.83594E-02,6.1817395E-06
-5.176832E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.176808E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.176784E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.176760E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.176736E-04,-1.46484E-02,-6.83594E-02,6.1817395E-06
-5.176712E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.176688E-04,2.44141E-02,-6.83594E-02,6.1817395E-06
-5.176664E-04,2.44141E-02,-6.83594E-02,6.1817395E-06
-5.176640E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.176616E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.176592E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.176568E-04,-1.46484E-02,-6.83594E-02,6.1817395E-06
-5.176544E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.176520E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.176496E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.176472E-04,3.41797E-02,-9.76562E-03,6.1817395E-06
-5.176448E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.176424E-04,3.41797E-02,2.92969E-02,6.1817395E-06
-5.176400E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.176376E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.176352E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.176328E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.176304E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.176280E-04,-2.44141E-02,9.76562E-03,6.1817395E-06
-5.176256E-04,-3.41797E-02,6.83594E-02,6.1817395E-06
-5.176232E-04,-2.44141E-02,-2.92969E-02,6.1817395E-06
-5.176208E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.176184E-04,-1.46484E-02,2.92969E-02,6.1817395E-06
-5.176160E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.176136E-04,3.41797E-02,9.76562E-03,6.1817395E-06
