f_Hz,H_real,H_imag,H_mag,H_phase_rad
9.599999999999278225e+05,-5.449190624026667429e-01,2.881267238135120090e-01,6.164039207737969095e-01,2.655209351416221164e+00
9.799999999999264255e+05,-3.774347667399387540e-01,5.903419572933252812e-01,7.006858280891274937e-01,2.139647820811219070e+00
9.999999999999249121e+05,7.254408085647613413e-01,-8.870568786443902565e-02,7.308440776188844801e-01,-1.216743011534295177e-01
1.019999999999923399e+06,4.204252922708238138e-01,-4.581966987384397116e-01,6.218533919790195652e-01,-8.283610807292064449e-01
1.039999999999921885e+06,-9.281437733297913661e-01,-1.252382079090944567e+00,1.558817415863391176e+00,-2.208578820125871811e+00
1.059999999999920372e+06,-9.936146124247549061e-01,-1.874126234666345425e+00,2.121230572448136620e+00,-2.058291409119793691e+00
1.079999999999918975e+06,1.673408374419833367e+00,8.368493975229127635e-01,1.870992384194252178e+00,4.637170267352441755e-01
1.099999999999917345e+06,6.344903265110483914e-02,8.555105250575708586e-01,8.578601507405747562e-01,1.496766750076056196e+00
1.119999999999915948e+06,3.223172913377200244e-01,6.159441320904749523e-02,3.281498255886349802e-01,1.888221449403775509e-01
1.139999999999914318e+06,5.353518736629266916e-01,-4.954493660113156762e-03,5.353747992218482743e-01,-9.254384756555666253e-03
1.159999999999912921e+06,1.494210623288868112e+00,8.224066059723975641e-01,1.705584360943880773e+00,5.031467057897605066e-01
1.179999999999911292e+06,1.635901426867169439e+00,-3.612178439376491079e-01,1.675306482171248668e+00,-2.173195444198596782e-01
1.199999999999909895e+06,1.577873626034068666e+00,9.289666793175416215e-01,1.831028200497239578e+00,5.321033514713110479e-01
1.219999999999908265e+06,4.782094905921333572e-01,-2.397224962531168957e-01,5.349310162088316556e-01,-4.646805148050291989e-01
1.239999999999906868e+06,-1.145367760887172848e+00,4.612042736365571938e-01,1.234737498296832436e+00,2.758787396819009086e+00
1.259999999999905238e+06,-3.902285418240079018e-01,4.156788715015047320e-01,5.701466820624810916e-01,2.324625262811165438e+00
1.279999999999903841e+06,-7.673128131765933890e-01,2.870273328099769428e-01,8.192396737493777836e-01,2.783639142648278053e+00
1.299999999999902444e+06,-1.182714218144233831e+00,1.993560079484493430e+00,2.317993682544183365e+00,2.106250683604816043e+00
1.319999999999900814e+06,1.846723400690375883e+00,1.824917855950637158e+00,2.596288215823677525e+00,7.794593238279461378e-01
1.339999999999899417e+06,-6.359640888005034798e-01,-7.664708152756055659e-01,9.959557384307328176e-01,-2.263404473926852400e+00
1.359999999999897787e+06,-1.125948226641686034e+00,-4.946548927990144784e-01,1.229814161590100596e+00,-2.727653156867266837e+00
1.379999999999896390e+06,-4.532259765646600158e-01,-4.258038481541538689e-02,4.552217866095806253e-01,-3.047918046594237484e+00
1.399999999999894761e+06,1.366172974343892454e-01,2.084459100218967631e+00,2.088931312045454458e+00,1.505349045076857406e+00
1.419999999999893364e+06,5.901744991624403580e-01,-6.473001165474208118e-01,8.759585494439459108e-01,-8.315284756456333692e-01
1.439999999999891734e+06,2.631864566054459842e-01,-5.940295369980694851e-01,6.497216340608269469e-01,-1.153734682265593614e+00
1.459999999999890337e+06,-3.784418302356692410e-01,7.906242411507012902e-01,8.765300391699336613e-01,2.017228334387796806e+00
1.479999999999888707e+06,1.855256436483762594e-01,7.171818352144043729e-01,7.407898144633505710e-01,1.317658488087610769e+00
