time_s,vin
1.519199999999999956e-05,2.903550000000000075e+00
1.519279999999999962e-05,2.874260000000000037e+00
1.519359999999999968e-05,2.903550000000000075e+00
1.519439999999999974e-05,2.874260000000000037e+00
1.519519999999999980e-05,2.913320000000000132e+00
1.519599999999999986e-05,2.874260000000000037e+00
1.519679999999999992e-05,2.903550000000000075e+00
1.519759999999999998e-05,2.884020000000000028e+00
1.519840000000000004e-05,2.932850000000000179e+00
1.519920000000000010e-05,2.854729999999999990e+00
1.520000000000000016e-05,2.913320000000000132e+00
1.520080000000000022e-05,2.874260000000000037e+00
1.520160000000000028e-05,2.923090000000000188e+00
1.520240000000000034e-05,2.903550000000000075e+00
1.520320000000000040e-05,2.932850000000000179e+00
1.520400000000000046e-05,2.893790000000000084e+00
1.520480000000000052e-05,2.893790000000000084e+00
1.520560000000000058e-05,2.854729999999999990e+00
1.520640000000000064e-05,2.913320000000000132e+00
1.520720000000000070e-05,2.903550000000000075e+00
1.520800000000000076e-05,2.923090000000000188e+00
1.520880000000000082e-05,2.893790000000000084e+00
1.520959999999999919e-05,2.903550000000000075e+00
1.521039999999999925e-05,2.874260000000000037e+00
1.521119999999999931e-05,2.874260000000000037e+00
1.521199999999999937e-05,2.874260000000000037e+00
1.521279999999999943e-05,2.893790000000000084e+00
1.521359999999999949e-05,2.874260000000000037e+00
1.521439999999999955e-05,2.903550000000000075e+00
1.521519999999999961e-05,2.903550000000000075e+00
1.521599999999999967e-05,2.893790000000000084e+00
1.521679999999999973e-05,2.874260000000000037e+00
1.521759999999999979e-05,2.913320000000000132e+00
1.521839999999999985e-05,2.874260000000000037e+00
1.521919999999999991e-05,2.942619999999999791e+00
1.521999999999999997e-05,2.923090000000000188e+00
1.522080000000000003e-05,2.884020000000000028e+00
1.522160000000000009e-05,2.884020000000000028e+00
1.522240000000000015e-05,2.893790000000000084e+00
1.522320000000000021e-05,2.874260000000000037e+00
1.522400000000000027e-05,2.903550000000000075e+00
1.522480000000000033e-05,2.903550000000000075e+00
1.522560000000000039e-05,2.913320000000000132e+00
1.522640000000000045e-05,2.884020000000000028e+00
1.522720000000000051e-05,2.903550000000000075e+00
1.522800000000000057e-05,2.893790000000000084e+00
1.522880000000000063e-05,2.903550000000000075e+00
1.522960000000000069e-05,2.893790000000000084e+00
1.523040000000000075e-05,2.913320000000000132e+00
1.523120000000000081e-05,2.874260000000000037e+00
1.523199999999999918e-05,2.903550000000000075e+00
1.523279999999999924e-05,2.903550000000000075e+00
1.523359999999999930e-05,2.913320000000000132e+00
1.523439999999999936e-05,2.903550000000000075e+00
1.523519999999999942e-05,2.903550000000000075e+00
1.523599999999999948e-05,2.884020000000000028e+00
1.523679999999999954e-05,2.913320000000000132e+00
1.523759999999999960e-05,2.893790000000000084e+00
1.523839999999999966e-05,2.913320000000000132e+00
1.523919999999999972e-05,2.864489999999999981e+00
1.523999999999999978e-05,2.913320000000000132e+00
1.524079999999999984e-05,2.874260000000000037e+00
