time_s,h
4.602960000000345985e-05,-3.132454026482878401e-04
4.603040000000346160e-05,-9.594442287797624175e-03
4.603120000000345658e-05,-9.660843491728805799e-03
4.603200000000345833e-05,-2.315633680530689627e-03
4.603280000000346009e-05,7.048948875736304413e-04
4.603360000000345507e-05,8.407546809634586921e-03
4.603440000000345682e-05,-6.082381851619087301e-03
4.603520000000345857e-05,-3.527019956390677318e-03
4.603600000000346033e-05,-5.838904267231597757e-03
4.603680000000346208e-05,-1.659131339835420021e-02
4.603760000000345706e-05,2.644571262634517507e-03
4.603840000000345882e-05,4.629128539513378132e-03
4.603920000000346057e-05,-6.384068424787321325e-03
4.604000000000345555e-05,-9.634573460659615063e-03
4.604080000000345730e-05,-9.689807582226948879e-03
4.604160000000345906e-05,-1.415441959681813799e-02
4.604240000000346081e-05,-2.834870808357559113e-02
4.604320000000346256e-05,-1.640142673465259503e-03
4.604400000000345754e-05,-2.135008306026096869e-02
4.604480000000345930e-05,-2.530555899217869741e-03
4.604560000000346105e-05,-5.497861129523062135e-03
4.604640000000345603e-05,-4.821279758213042194e-03
4.604720000000345778e-05,1.545904054112971077e-02
4.604800000000345954e-05,1.417808175559269164e-03
4.604880000000346129e-05,-1.483454412014015115e-02
4.604960000000346304e-05,1.505489780476825142e-02
4.605040000000345802e-05,2.671874516664875243e-03
4.605120000000345978e-05,-5.587923827122358300e-03
4.605200000000346153e-05,-2.002221079157605332e-02
4.605280000000345651e-05,-4.473598716366206443e-03
4.605360000000345826e-05,6.078522103361819369e-03
4.605440000000346002e-05,-2.172645270422975203e-03
4.605520000000346177e-05,-1.144952294056647557e-02
4.605600000000346353e-05,1.082877401364370530e-02
4.605680000000345850e-05,-1.540543384061647840e-04
4.605760000000346026e-05,1.093036027492172782e-02
4.605840000000346201e-05,1.224899177441296678e-02
4.605920000000345699e-05,1.676716759234767387e-02
4.606000000000345874e-05,3.397080321166293018e-03
4.606080000000346050e-05,-6.788123245013925021e-03
4.606160000000346225e-05,-2.881788372825147960e-04
4.606240000000346401e-05,2.527148074832388878e-03
4.606320000000345898e-05,-2.054249429372233607e-02
4.606400000000346074e-05,-5.972522233590819504e-03
4.606480000000346249e-05,8.323195993567343229e-03
4.606560000000345747e-05,-6.846333901559015396e-03
4.606640000000345922e-05,-2.892211206930871310e-03
4.606720000000346098e-05,4.208119778344059959e-03
4.606800000000346273e-05,-8.263693720218040495e-03
4.606880000000346449e-05,1.682324706162957942e-02
4.606960000000345947e-05,-1.189116308707575606e-02
4.607040000000346122e-05,-1.840686377000438564e-02
4.607120000000346297e-05,3.585862767049779586e-03
4.607200000000345795e-05,9.847663346574045060e-03
4.607280000000345971e-05,4.735447334124433250e-03
4.607360000000346146e-05,9.059937985832962684e-03
4.607440000000346321e-05,3.087924233317790139e-03
4.607520000000346497e-05,-2.891303026606500438e-03
4.607600000000345995e-05,-1.725961750595631644e-02
4.607680000000346170e-05,-8.565210225761331689e-03
4.607760000000346345e-05,3.337235878120775340e-03
4.607840000000345843e-05,1.484881064234783860e-02
4.607920000000346019e-05,7.065268927061101913e-03
4.608000000000346194e-05,-1.008657224386689220e-02
4.608080000000346369e-05,8.627779094205729289e-04
4.608160000000346545e-05,3.612007391348312502e-02
4.608240000000346043e-05,6.205529517414406018e-03
4.608320000000346218e-05,1.045781045171697080e-02
4.608400000000346394e-05,-6.741446117171206662e-03
4.608480000000345891e-05,-3.974105268858322236e-03
4.608560000000346067e-05,-3.132187318555534200e-03
4.608640000000346242e-05,-1.714027095118565713e-02
4.608720000000346418e-05,5.914356579253870518e-03
4.608800000000346593e-05,-9.397405624054819273e-03
4.608880000000346091e-05,1.394812447796210837e-02
4.608960000000346266e-05,-2.328213653602697122e-03
4.609040000000346442e-05,-4.121038473680455581e-03
4.609120000000345939e-05,1.551026000854636077e-03
4.609200000000346115e-05,-1.277319071955469731e-02
4.609280000000346290e-05,-1.351230491014557495e-03
4.609360000000346466e-05,-9.560451862714952620e-03
